season,week,celebrity_name,simulated_vote_share,vote_percentage,avg_judge_score,status,num_valid_simulations,valid_percentage
1,1,John O'Hurley,0.191948,19.194790,6.666667,存活,100000,100.000000
1,1,Joey McIntyre,0.189277,18.927680,6.666667,存活,100000,100.000000
1,1,Evander Holyfield,0.170832,17.083165,6.000000,存活,100000,100.000000
1,1,Trista Sutter,0.167478,16.747765,6.000000,存活,100000,100.000000
1,1,Rachel Hunter,0.151721,15.172124,6.666667,存活,100000,100.000000
1,1,Kelly Monaco,0.128745,12.874476,4.333333,存活,100000,100.000000
1,2,John O'Hurley,0.450386,45.038560,8.666667,存活,31,0.031000
1,2,Rachel Hunter,0.308237,30.823695,8.000000,存活,31,0.031000
1,2,Evander Holyfield,0.212657,21.265704,4.666667,存活,31,0.031000
1,2,Kelly Monaco,0.010694,1.069406,5.666667,存活,31,0.031000
1,2,Joey McIntyre,0.009060,0.906008,7.000000,存活,31,0.031000
1,2,Trista Sutter,0.008966,0.896628,6.333333,淘汰,31,0.031000
1,3,Kelly Monaco,0.261264,26.126389,7.000000,存活,79933,79.933000
1,3,John O'Hurley,0.222035,22.203514,8.000000,存活,79933,79.933000
1,3,Joey McIntyre,0.203272,20.327186,7.333333,存活,79933,79.933000
1,3,Rachel Hunter,0.189107,18.910710,8.666667,存活,79933,79.933000
1,3,Evander Holyfield,0.124322,12.432201,4.333333,淘汰,79933,79.933000
1,4,Joey McIntyre,0.482695,48.269471,6.666667,存活,3991,3.991000
1,4,John O'Hurley,0.482424,48.242420,7.000000,存活,3991,3.991000
1,4,Kelly Monaco,0.019288,1.928832,8.666667,存活,3991,3.991000
1,4,Rachel Hunter,0.015593,1.559277,8.333333,淘汰,3991,3.991000
1,5,John O'Hurley,0.363940,36.394026,9.000000,存活,100000,100.000000
1,5,Kelly Monaco,0.324737,32.473700,7.833333,存活,100000,100.000000
1,5,Joey McIntyre,0.311323,31.132273,7.500000,存活,100000,100.000000
1,6,Kelly Monaco,0.501385,50.138464,9.166667,存活,100000,100.000000
1,6,John O'Hurley,0.498615,49.861536,9.000000,存活,100000,100.000000
2,1,Tatum O'Neal,0.100000,10.000000,7.666667,存活,0,0.000000
2,1,Tia Carrere,0.100000,10.000000,6.666667,存活,0,0.000000
2,1,George Hamilton,0.100000,10.000000,6.000000,存活,0,0.000000
2,1,Lisa Rinna,0.100000,10.000000,6.333333,存活,0,0.000000
2,1,Stacy Keibler,0.100000,10.000000,7.333333,存活,0,0.000000
2,1,Jerry Rice,0.100000,10.000000,7.000000,存活,0,0.000000
2,1,Giselle Fernandez,0.100000,10.000000,7.666667,存活,0,0.000000
2,1,Master P,0.100000,10.000000,4.000000,存活,0,0.000000
2,1,Drew Lachey,0.100000,10.000000,8.000000,存活,0,0.000000
2,1,Kenny Mayne,0.100000,10.000000,4.333333,淘汰,0,0.000000
2,2,Stacy Keibler,0.155406,15.540557,9.666667,存活,21963,21.963000
2,2,Drew Lachey,0.147641,14.764074,9.000000,存活,21963,21.963000
2,2,Jerry Rice,0.125237,12.523709,7.666667,存活,21963,21.963000
2,2,George Hamilton,0.123154,12.315445,7.333333,存活,21963,21.963000
2,2,Tia Carrere,0.122968,12.296847,7.333333,存活,21963,21.963000
2,2,Lisa Rinna,0.111974,11.197378,6.666667,存活,21963,21.963000
2,2,Giselle Fernandez,0.102098,10.209832,8.000000,存活,21963,21.963000
2,2,Master P,0.094691,9.469075,5.333333,存活,21963,21.963000
2,2,Tatum O'Neal,0.016831,1.683082,5.666667,淘汰,21963,21.963000
2,3,Drew Lachey,0.155499,15.549919,9.000000,存活,4816,4.816000
2,3,Stacy Keibler,0.155361,15.536071,9.000000,存活,4816,4.816000
2,3,Jerry Rice,0.154864,15.486445,6.333333,存活,4816,4.816000
2,3,Tia Carrere,0.144941,14.494101,8.666667,存活,4816,4.816000
2,3,Lisa Rinna,0.143728,14.372849,8.333333,存活,4816,4.816000
2,3,George Hamilton,0.126855,12.685469,7.333333,存活,4816,4.816000
2,3,Master P,0.115432,11.543155,4.666667,存活,4816,4.816000
2,3,Giselle Fernandez,0.003320,0.331990,7.333333,淘汰,4816,4.816000
2,4,Drew Lachey,0.166695,16.669489,9.333333,存活,78737,78.737000
2,4,George Hamilton,0.166171,16.617127,7.000000,存活,78737,78.737000
2,4,Lisa Rinna,0.158511,15.851110,8.666667,存活,78737,78.737000
2,4,Tia Carrere,0.155253,15.525350,8.333333,存活,78737,78.737000
2,4,Stacy Keibler,0.154717,15.471683,8.666667,存活,78737,78.737000
2,4,Jerry Rice,0.147366,14.736560,8.000000,存活,78737,78.737000
2,4,Master P,0.051287,5.128681,2.666667,淘汰,78737,78.737000
2,5,Stacy Keibler,0.193052,19.305215,10.000000,存活,97988,97.988000
2,5,Drew Lachey,0.176412,17.641214,9.000000,存活,97988,97.988000
2,5,Lisa Rinna,0.166637,16.663728,8.333333,存活,97988,97.988000
2,5,George Hamilton,0.162955,16.295464,8.000000,存活,97988,97.988000
2,5,Jerry Rice,0.153730,15.372996,7.666667,存活,97988,97.988000
2,5,Tia Carrere,0.147214,14.721384,7.333333,淘汰,97988,97.988000
2,6,Drew Lachey,0.223694,22.369449,10.000000,存活,99690,99.690000
2,6,Stacy Keibler,0.221853,22.185300,10.000000,存活,99690,99.690000
2,6,Lisa Rinna,0.205517,20.551717,9.000000,存活,99690,99.690000
